NO.,IDW,MIDW,W,ID,HV,HD,IC,O,Iorb,Oorb,M1,M2,IC0,IC1,IC2,IC3,IC4,IC5,IC6,SIC0,SIC1,SIC2,SIC3,SIC4,SIC5,SIC6,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CIC6,S0,S1,S2,S3,S4,S5,S6,SC3,SC4,SC5,SC6,SCH3,SCH4,SCH5,SCH6,SPC4,SPC5,SPC6,B0,B1,B2,B3,B4,B5,B6,BC3,BC4,BC5,BC6,BCH3,BCH4,BCY5,BCH6,BPC4,BPC5,BPC6,V0,V1,V2,V3,V4,V5,V6,VC3,VC4,VC5,VC6,VCH3,VCH4,VCH5,VCH6,VPC4,VPC5,VPC6,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
286,4939.034,6.996,706,4.03,3.089,3.86,2.51,3,3.725,2,86,92,1.663,3.051,4.241,4.346,4.346,4.346,4.346,0.317,0.581,0.808,0.828,0.828,0.828,0.828,3.585,2.197,1.007,0.902,0.902,0.902,0.902,13.759,8.277,8.494,4.797,3.659,2.826,1.648,2.575,0.354,0.118,0,0,0,0,0.083,2.312,3.229,4.08,12.408,6.786,6.237,3.241,2.095,1.495,0.75,1.583,0.144,0.068,0,0,0,0,0.028,1.405,1.548,1.796,11.66,7.661,6.323,2.925,2.017,1.262,0.692,1.366,0.102,0.03,0,0,0,0,0.028,1.077,1.285,1.308,18,18,25,24,28,32,30,32,30,18,14
287,2900.106,6.698,433,3.895,2.811,3.727,2.227,3,4,2,82,96,1.727,3.478,4.495,4.566,4.566,4.566,4.566,0.359,0.723,0.935,0.95,0.95,0.95,0.95,3.08,1.329,0.313,0.241,0.241,0.241,0.241,11.707,7.613,6.915,5.854,4.418,3.298,2.176,1.214,0,0.331,0,0,0,0.118,0.207,2.914,3.943,5.842,10.5,6.34,5.267,4.09,2.838,1.967,1.201,0.813,0,0.16,0,0,0,0.079,0.13,1.757,2.192,2.892,8.713,4.883,3.611,2.405,1.526,0.934,0.485,0.473,0,0.062,0,0,0,0.045,0.068,0.846,0.957,1.113,16,17,24,31,38,44,44,39,35,30,19
288,46902.953,9.401,4989,5.177,3.496,5.106,2.894,7,5.222,5,210,255,1.734,3.428,4.683,5.429,5.677,5.753,5.804,0.275,0.544,0.743,0.861,0.901,0.913,0.921,4.57,2.875,1.621,0.875,0.627,0.551,0.5,30.102,18.708,17.617,15.114,11.994,9.455,6.589,3.838,0.118,1.439,0.131,0,0,0.068,0.363,9.583,15.236,24.222,29.265,17.646,16.383,13.985,10.959,8.51,5.893,3.452,0.096,1.319,0.107,0,0,0.068,0.354,8.715,13.553,21.223,21.743,12.377,9.891,7.337,5.08,3.369,2.039,1.639,0.043,0.387,0.028,0,0,0.039,0.175,3.476,4.58,5.822,40,42,63,87,113,142,162,187,213,229,241
289,3678.38,6.863,536,3.996,2.931,3.803,2.469,3,3.499,2,86,97,1.924,3.199,3.806,4.088,4.088,4.088,4.088,0.405,0.673,0.801,0.86,0.86,0.86,0.86,2.831,1.556,0.949,0.667,0.667,0.667,0.667,12.303,8.077,7.654,5.661,4.344,3.312,2.04,1.688,0.204,0.348,0.102,0,0,0,0.185,2.819,3.954,5.231,10.226,5.656,4.488,2.807,1.804,1.17,0.625,0.803,0.072,0.102,0.024,0,0,0,0.06,1.127,1.313,1.459,9.554,6.215,4.929,3.326,2.136,1.445,0.836,0.804,0.051,0.117,0.017,0,0,0,0.047,1.317,1.457,1.633,17,18,25,29,34,40,36,30,28,24,20
290,4319.938,7.036,614,4.043,2.921,3.892,2.461,3,3.837,2,94,109,1.868,3.342,3.938,4.26,4.26,4.26,4.26,0.377,0.675,0.795,0.86,0.86,0.86,0.86,3.086,1.612,1.016,0.694,0.694,0.694,0.694,13.336,8.399,8.323,6.543,4.639,3.359,2.217,2.078,0.204,0.581,0.102,0,0,0.096,0.344,4.032,5.283,6.753,11.494,6.156,5.169,3.56,2.093,1.317,0.746,1.057,0.072,0.225,0.024,0,0,0.042,0.141,1.854,2.03,2.209,10.753,6.666,5.55,3.881,2.345,1.618,0.977,1.039,0.051,0.197,0.017,0,0,0.021,0.081,1.849,1.929,2.252,18,19,28,34,39,43,42,36,31,30,26
291,3670.628,6.861,535,3.975,2.921,3.802,2.469,3,3.735,2,88,100,1.922,3.294,3.937,4.209,4.209,4.209,4.209,0.4,0.685,0.819,0.876,0.876,0.876,0.876,2.885,1.513,0.87,0.598,0.598,0.598,0.598,12.466,7.971,7.934,5.739,4.463,3.024,2.067,1.976,0.204,0.348,0.102,0,0,0.118,0.285,3.164,4.474,5.374,10.571,5.733,4.799,2.937,1.946,1.144,0.661,0.97,0.072,0.102,0.024,0,0,0.048,0.11,1.298,1.555,1.565,9.831,6.244,5.142,3.402,2.221,1.436,0.897,0.928,0.051,0.117,0.017,0,0,0.024,0.064,1.437,1.622,1.749,17,18,26,30,36,38,38,33,26,24,22
292,2131.136,6.537,326,3.859,2.568,3.651,1.933,4,3.907,3,82,99,1.292,2.754,3.548,4.306,4.513,4.513,4.513,0.266,0.567,0.73,0.886,0.929,0.929,0.929,3.566,2.104,1.31,0.552,0.345,0.345,0.345,10.251,7.36,6.512,5.892,5.149,4.302,2.795,0.798,0,0.293,0,0,0,0,0.212,2.357,4.162,6.762,9.158,5.77,4.439,3.519,2.699,1.991,1.112,0.447,0,0.131,0,0,0,0,0.103,1.182,1.856,2.665,8.662,5.52,4.175,3.213,2.41,1.792,0.95,0.376,0,0.093,0,0,0,0,0.104,0.948,1.431,2.028,15,17,24,34,46,60,60,64,66,66,44
293,17825.08,8.326,2141,4.752,3.332,4.557,2.901,7,4.307,5,138,158,1.217,2.273,3.739,4.337,4.635,4.776,4.881,0.209,0.39,0.641,0.743,0.795,0.819,0.837,4.616,3.56,2.094,1.496,1.198,1.057,0.952,19.769,13.686,11.551,9.245,7.762,6.393,4.038,1.36,0,0.225,0,0,0,0,0.287,2.97,5.041,8.14,17.489,10.62,7.922,5.33,3.837,2.622,1.507,0.927,0,0.093,0,0,0,0,0.092,1.563,2.19,2.898,17.06,9.907,7.115,4.79,3.348,2.306,1.235,0.785,0,0.093,0,0,0,0,0.092,1.405,1.966,2.7,28,30,39,50,65,82,82,94,102,100,90
294,6138.377,7.541,814,4.305,2.729,4.174,2.124,4,4.202,2,112,134,1.673,3.057,4.043,4.631,4.712,4.712,4.712,0.329,0.601,0.795,0.91,0.926,0.926,0.926,3.415,2.03,1.044,0.456,0.375,0.375,0.375,14.983,10.075,9.239,8.069,6.425,5.452,3.941,1.484,0,0.505,0,0,0,0,0.17,3.871,5.999,9.874,13.058,7.645,6.122,4.608,3.191,2.289,1.501,0.907,0,0.238,0,0,0,0,0.056,2.029,2.748,3.858,12.08,6.843,5.213,3.66,2.528,1.775,1.102,0.687,0,0.123,0,0,0,0,0.056,1.353,1.812,2.462,21,23,33,45,59,79,90,97,96,91,85
295,11799.446,8.005,1474,4.504,3.133,4.386,2.483,3,4.564,3,138,169,1.904,3.796,4.734,4.884,4.884,4.884,4.884,0.358,0.713,0.89,0.918,0.918,0.918,0.918,3.418,1.525,0.588,0.438,0.438,0.438,0.438,18.516,11.648,11.806,9.139,8.57,5.579,3.966,2.903,0.204,0.849,0.068,0,0.111,0.545,0.859,5.733,10.725,15.874,16.439,9.536,9.248,6.781,5.89,3.801,2.578,2.323,0.204,0.57,0.059,0,0.096,0.383,0.661,4.187,7.213,10.073,14.966,9.252,8.963,6.631,5.464,3.544,2.233,2.399,0.354,0.436,0.079,0,0.075,0.411,0.692,3.837,6.141,8.159,25,27,42,58,81,88,103,104,99,106,108
